method,tracer,alpha_NGP,delta_NGP,sigma_stat_deg,sigma_syst_deg,sigma_total_deg,zero_point_corrected,error_vs_iau_deg,error_vs_km2017_deg
great_circle,cepheids,12.953370429935662,26.25917266414546,0.9584448742345176,2.4807989308491134,2.659507456701057,False,1.6362384066663203,1.6286215516185465
kinematic,cepheids,12.565913448771278,19.953388935365272,,,,False,8.169028946351558,8.1197830224223
offset_plane,cepheids,12.731716759055931,28.38998554502733,,,,False,2.013051673371842,2.028155504538976
weighted_tls,cepheids,12.742184933957766,28.258785506950243,,,,False,1.8233216160111563,1.8380413507167785
great_circle,disk_stars,12.946259930961777,26.492429757098733,0.0667689663437296,1.0217847028487292,1.0239639026070577,False,1.437753189709082,1.4352514493459565
kinematic,disk_stars,12.742831860664724,25.8987023083581,,,,False,1.8934248801057072,1.8495969897888032
offset_plane,disk_stars,12.966624440668552,25.674241067379786,,,,False,2.1387240387580415,2.1219413980094375
weighted_tls,disk_stars,12.966463341052581,25.668753368061502,,,,False,2.140907626530498,2.1240042264713788
great_circle,ob_stars,12.902272049713256,25.08218827502944,0.1928080100719585,1.2470621539857656,1.2618791323464882,False,2.165452032389414,2.128383203620305
kinematic,ob_stars,12.462527203436743,23.60640135144303,,,,False,6.322711167301668,6.2822492263621905
offset_plane,ob_stars,13.12142569259913,23.692622197290277,,,,False,5.0330489701751695,5.016237111758419
weighted_tls,ob_stars,13.121548868419039,23.689257881436667,,,,False,5.036601625284155,5.0197779897326935
great_circle,young_clusters,12.652416468143391,26.775934630616387,0.6450030148059646,1.1353067172924114,1.3057374282136722,False,2.6653803062033314,2.6416032258620965
kinematic,young_clusters,12.58157162959182,25.038804878753577,,,,False,4.177003008954932,4.138388902682512
offset_plane,young_clusters,12.825336470797016,26.43956487369228,,,,False,0.7653556618801052,0.7158030086872437
