method,tracer,b_max,G_limit,sn_cut,shell,hemisphere,alpha,delta,sigma_stat,sigma_syst,sigma_total
great_circle_svd,all,,,,all,all,12.946259930961777,26.492429757098733,,,
great_circle_svd,all,15.0,,,all,all,12.946259930961777,26.492429757098733,,,
great_circle_svd,all,10.0,,,all,all,12.927743706201232,26.681828395309694,,,
great_circle_svd,all,5.0,,,all,all,12.899566592070697,26.89057576688353,,,
great_circle_svd,all,,15.0,,all,all,12.946259930961777,26.492429757098733,,,
great_circle_svd,all,,14.0,,all,all,12.949116299871484,26.44923049895814,,,
great_circle_svd,all,,13.0,,all,all,12.952609638985107,26.447713920084094,,,
great_circle_svd,all,,,5.0,all,all,12.946259930961777,26.492429757098733,,,
great_circle_svd,all,,,10.0,all,all,12.936157412269324,26.52648424743596,,,
great_circle_svd,all,,,20.0,all,all,12.92369911077894,26.48856813251464,,,
great_circle_svd,all,,,,all,north,12.762570465014909,28.66173251558289,,,
great_circle_svd,all,,,,all,south,13.077513876523074,24.965445592881213,,,
great_circle_svd,cepheids,,,,all,all,12.948491159117443,26.320408487562254,,,
great_circle_svd,cepheids,15.0,,,all,all,12.886893122226601,26.630955237365043,,,
great_circle_svd,cepheids,10.0,,,all,all,12.879507396007632,26.468829680261013,,,
great_circle_svd,cepheids,5.0,,,all,all,12.878693580211282,26.64084744060435,,,
great_circle_svd,cepheids,,15.0,,all,all,12.928198467383078,26.138738990271776,,,
great_circle_svd,cepheids,,14.0,,all,all,12.930781426949801,26.4110743806831,,,
great_circle_svd,cepheids,,13.0,,all,all,12.923607225944643,26.513227239714773,,,
great_circle_svd,cepheids,,,5.0,all,all,12.881675060406934,26.714581288334713,,,
great_circle_svd,cepheids,,,10.0,all,all,12.910363979043918,26.415234461111368,,,
great_circle_svd,cepheids,,,20.0,all,all,12.891238099549652,26.755354788201483,,,
great_circle_svd,cepheids,,,,all,north,12.384031462885208,31.031216505153488,,,
great_circle_svd,cepheids,,,,all,south,13.27435066521909,23.77537975609037,,,
great_circle_svd,ob_stars,,,,all,all,12.902272049713256,25.08218827502944,,,
great_circle_svd,ob_stars,15.0,,,all,all,12.902272049713256,25.08218827502944,,,
great_circle_svd,ob_stars,10.0,,,all,all,12.869007697983507,25.534008879474058,,,
great_circle_svd,ob_stars,5.0,,,all,all,12.84332134044197,26.899649071055112,,,
great_circle_svd,ob_stars,,15.0,,all,all,12.881031829740383,25.096505079492083,,,
great_circle_svd,ob_stars,,14.0,,all,all,12.868670374821221,25.073962102516955,,,
great_circle_svd,ob_stars,,13.0,,all,all,12.867991443131276,25.052216991797685,,,
great_circle_svd,ob_stars,,,5.0,all,all,12.902272049713256,25.08218827502944,,,
great_circle_svd,ob_stars,,,10.0,all,all,12.88454025851983,25.278763516144448,,,
great_circle_svd,ob_stars,,,20.0,all,all,12.861385103234445,25.351300389451524,,,
great_circle_svd,ob_stars,,,,all,north,12.888100041088478,29.215597601273153,,,
great_circle_svd,ob_stars,,,,all,south,12.898285582962538,22.344357753960388,,,
great_circle_svd,young_clusters,,,,all,all,12.652416468143391,26.775934630616387,,,
great_circle_svd,young_clusters,15.0,,,all,all,12.793331497117371,26.121464748500443,,,
great_circle_svd,young_clusters,10.0,,,all,all,12.82498469184898,26.194047303701417,,,
great_circle_svd,young_clusters,5.0,,,all,all,12.85276445900159,26.64419415888725,,,
great_circle_svd,young_clusters,,,,all,north,12.657481009084867,26.963014359086905,,,
great_circle_svd,young_clusters,,,,all,south,12.64719794829869,26.605918819919367,,,
